,Dice_mean,Dice_std,Jaccard_mean,Jaccard_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,SSIM_mean,SSIM_std
HV-OCTAMamba,0.9014531901405175,0.03381850891494283,0.8221982550543936,0.05244812013529443,0.9793680245535712,0.009142884937955214,0.8852372351070145,0.041366171739260854,0.9904800201933027,0.006074320025575634,0.8717200916553426,0.045507294494345416
OCTAMamba,0.9020277518071349,0.03170619948384514,0.8229641000971475,0.049422239659257725,0.9795139110331631,0.008533192969644894,0.8875576053934122,0.04199652961512305,0.9905333229059623,0.004788893290246271,0.8738937408038788,0.04417275432639464
AC-Mamba,0.9104862274306308,0.03657195146953925,0.8375936464502068,0.057147838244018534,0.9814251833545917,0.008747888197758975,0.8914287386157649,0.05459039046530926,0.9925471342266289,0.0034528479318275632,0.8819799166180257,0.0475468063016365
H-vmunet,0.7519077211108554,0.03260381252161515,0.603523809812217,0.04130584453895727,0.947894212372449,0.00964555277381743,0.7567756458934464,0.039973273944515615,0.9706272273542963,0.0056285831033719156,0.7267715245875856,0.049303892853002886
H2Former,0.8693340780446418,0.029555057664263078,0.7700234512247256,0.04421968861442355,0.9726929209183673,0.008715774712303035,0.8592586403272713,0.038770676359381175,0.9861841816158698,0.005138249625941076,0.8474464804115875,0.04490906717780607
MISSFormer,0.8411705367990899,0.031637617223992505,0.7271041575448166,0.04491931995178156,0.9658998325892857,0.009154272048112946,0.8609655178574118,0.049124752476923515,0.9787627820670973,0.005847315484190072,0.8143997712589607,0.04483288186818719
VM-UNet,0.8427063281978947,0.03195672241293815,0.7294225941688294,0.0454317718970101,0.9670681202168367,0.010040437686715337,0.8343065887543039,0.036921849714246426,0.9825928349463178,0.007630118054779724,0.8131677076753244,0.04921234777075814
VM-UNetv2,0.6763260038194231,0.03871979776446209,0.5122258764698319,0.043801937384890105,0.9299300462372451,0.012553634527972287,0.70126811950253,0.04706367312992264,0.9567145511445918,0.008387285645507045,0.6681399139578029,0.055547738173036695
Swin-Unet,0.8119564574811293,0.03148094880541876,0.6845686852683491,0.04266631568771611,0.9605873325892855,0.009912728922024699,0.8101229852443368,0.03842379682657715,0.9784185505422174,0.006132332366660251,0.7719108657135689,0.04591513908305319
R2UNet,0.832227721587507,0.032274504712669155,0.7139188797442613,0.04551612061155906,0.9635897640306123,0.011266292475247538,0.8517165574516581,0.048076316431016,0.976169271975271,0.012019686073152394,0.7983955837020912,0.05105830087041877
UNet++,0.901279465511564,0.03269727497344166,0.8218100542780263,0.05087410397261343,0.9796117665816326,0.008839156065079162,0.8726184865108041,0.04061581409455038,0.9922756582033249,0.005372658921896904,0.8759139139558768,0.04621706443520108
U-Net,0.8322678089241442,0.02723243613362097,0.7136201310272271,0.03856962033672518,0.964774394132653,0.00887654954996092,0.8308176195435176,0.03357012238485192,0.9805273416480447,0.0060972399110070016,0.8103909176092128,0.04372594401777558
